Project Title,Project Description,Learning Outcomes for Students,Roles and Responsibilies of Student,Students' pre-requisites,Job Description for Student,Research Institute of Internship Supervisor,Department of Internship Supervisor,Name of Internship Supervisor,Contact Number of Internship Supervisor,Work Email of Internship Supervisor,Workplace Address,What is the project's research category?,Area of Discipline(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI tool for automated analysis of cardiac MR imaging,CMR analysis & automated contouring speeds up segmentation and improve efficacy. Automated analysis via machine learning (ML) approaches using deep learning neural networks show potential and could remove this intra- and inter-observer variation. Artificial intelligence (AI)-algorithm-derived left ventricular (LV) segmentation has been shown to correlate well with manual LV segmentation.We seek to investigate AI-algorithm for LV segmentation and function analysis to achieve robust automated results in other aspects of CMR analysis such as infarct size/T1/T2/LGE analysis.,"1. Data Preparation and Analytics
2. Healthcare and its requirements 
3. Programming and analysis skills will get enhanced 
4. Exposure to multimodal data 
5. Exposure to advanced computing","1. Understand data and work on data preparation 
2. Develop a framework for data analytics - Implement, test and validate
3. Develop a dashboard for presenting the results of data analytics
4. Deploy the framework to a clinical setting","1. Knowledge of Deep Learning and Programming in Python, Tensorflow 
2. Background of Medical images is advantageous 
3. Mathematics, Statistics and Good Programming Skills","1. Develop a framework for CMR data analysis
2. Data Preparation 
3. Algorithm development, testing and implementation
4. Dashboard design 
5. Deployment to clinical setting",BII,Clinical Data Analytics and Radionics,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"#07-01 Matrix, 30 Biopolis Street, Singapore 138671",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI-based Neuroimaging data analytics in Psychiatry,"Schizophrenia is a chronic mental condition, affecting more than 27 million worldwide. Neuroimaging studies have reported structural brain changes in Schizophrenia and neuroimaging biomarkers are being explored for identification and stratification of healthy controls and psychiatric patients. Our study aims to understand schizophrenia subtype differences in Asian-phenotype. We propose to develop AI based methods for brain segmentation, extraction of neuroimaging features and develop framework for classification and understanding of disease progression.","Data Preparation and Analytics
2. Healthcare and its requirements 
3. Programming and analysis skills will get enhanced 
4. Exposure to multimodal data 
5. Exposure to advanced computing","1. Understand data and work on data preparation 
2. Develop a framework for data analytics - Implement, test and validate
3. Develop a dashboard for presenting the results of data analytics
4. Deploy the framework to a clinical setting","1. Knowledge of Deep Learning and Programming in Python, TensorFlow 
2. Background of Medical images is advantageous 
3. Mathematics, Statistics and Good Programming Skills","1. Develop a framework for Neuroimaging data analysis
2. Data Preparation 
3. Algorithm development, testing and implementation
4. Dashboard design 
5. Deployment to clinical setting",BII,Clinical Data Analytics and Radionics,Bhanu Prakash KN,+6590086131,bhanu_prakash@bii.a-star.edu.sg,"#07-01 Matrix, 30 Biopolis Street, Singapore 138671",Computing & Information Sciences,Computing & Information Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis and integration of multi-modal cancer datasets,"We work closely with clinicians to explore personalized treatment options for cancer patients using multi-omic profiling and therapeutic screening in patient-derived models. As part of the Biomedical Datahub in BII, we are developing an end-to-end framework to analyze and integrate complex cancer datasets to enable clinical-decision-making and drive translation research.","The candidate will have the opportunity to work in a multi-disciplinary team led by a senior Principal Investigator highly experienced in cancer computational biology and clinician-scientists specializing in oncology. Eventually, the candidate will receive training in both computational biology and translational oncology disciplines. The candidate will gain experience in dealing with highly complex data science challenges in oncology.","The intern is expected to work on any of these tasks, depending on field of study and interests.
1.	Develop, implement and benchmark workflows for bulk and spatial sequencing data, image processing of histology images and pathway analysis.
2.	Write scripts to output data in a format that can be integrated with publicly available cancer datasets
3.	Organize and analyze publicly available cancer datasets
4.	Develop visualization tools to visualize results in a meaningful way
5.	Organize all data in a structured manner using relational databases
6.	Develop annotation databases for cancer data","•	The candidate should have basic programming skills (e.g. Python, R, RStudio, Jupyter Notebook, RShiny, SQL).
•	Familiarity with Unix/Linux environment or cloud architecture would be an advantage
•	Strong analytical and problem-solving skills. 
•	Excellent oral and written communication and presentation skills. 
•	Able to work independently, and as part of a team","We are developing systematic workflows to integrate, analyze and manage data of multiple modalities. We are looking for candidates to develop computational methods, including big-data analytics and AI/ML approaches, to analyze and integrate the multi-modal data (sequencing, imaging, spatial profiling, treatment response, clinical and public and real-world data) that can deliver translational outcomes to cancer patients.",BII,Biomedical Datahub,Woo Xing Yi,+6581614665,woo_xing_yi@bii.a-star.edu.sg,"30 Biopolis Street , #07-01 Matrix, Singapore 138671",Computing & Information Sciences,"Biological Sciences, Computational Biology, Data Science & Analytics, Life Sciences, Mathematics & Applied Mathematics, Pharmaceutical Science, Pharmacy, Statistics, Mathematical Sciences, Physics & Applied Physics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of 15mil world-wide covid sequences using AI,Our laboratory has access to 15million Covid sequences from a worldwide effort. We propose to use this big data to understand what is the next important variant of covid sequences using Generative AI technologies.,Students will learn (1) the basics of AI technologies (2) Biomedical knowledge on the disease that they use AI for (3) how to apply AI technologies for helping patients.,"1. help implement ideas into software
2. brains storm and trouble shoot numerical issues","(1)	Coding and implementing AI algorithms.
(2)	Help with clinical data preparation and data engineering","The student will need to learn basic biomedical knowledge related to their project. 
The student will need to code out AI models for the given tasks.
The student will need to prepare the clinical data and perform data engineering work
The student will need to run experiments, troubleshoot and come up with new ideas to overcome challenges.",BII,Computer Vision and Pattern Discovery for Bioimages,Lee Hwee Kuan,6597378178,leehk@bii.a-star.edu.sg,"30 Biopolis Street, #07-01 Matrix, S138671",Biomedical Sciences,Bioscience & Biotechnology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis of EMG data during Spinal Cord Stimulation,"In a first-in-man trial, a spinal cord stimulator will be implanted in a subject with spinal cord injury, and intensive rehabilitation will be performed for a period of a few months. During rehabilitation, EMG signals from the legs will be collected. The goal of the project is to analysis these EMG signals to see if 1) improvement in motor function can be quantified, 2) motor intentions of walking can be predicted from the EMG signals.","1. Literature review
2. Hypothesis generation
3. EMG signal processing and analysis","The student will be working with the team to perform data cleaning, processing and analysis.",Coding skills together with some understanding of AI preferred.,"The student will be working with a small team to conduct data cleaning, processing and analysis.",I2R,Healthcare and Medtech division,Rosa So,+6591994280,rosa-so@i2r.a-star.edu.sg,"1 Fusionopolis Way, North Tower, Singapore 138632",Engineering & Technology,Biomedical Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approaches for information extraction from documents,"Existing documents and reports contain valuable information for companies and organisations that can be leveraged on for additional purposes. However, combing through the vast collections of files is time-consuming and labor-intensive when done manually. Recent progress in AI and machine learning for textual analysis provides powerful tools to automate the task of extracting relevant information from such sources. The goal of the project is to develop an end-to-end pipeline to extract relevant information from documents and reports.","'- Software development: designing and implementing a web scraper to crawl the web and retrieve public documents for the relevant domain
- AI and ML: designing and implementing an end-to-end machine learning pipeline to extract information from documents and reports",Students will be expected to conduct basic literature review and coding for the system,Some level of programming skills is desired. Experience with python programming is preferred.,"'- Basic literature review of the field and reading of materials
- Discussion with supervisor and team on web scraping and document retrieval
- Discussion with supervisor and team on approaches and design of machine learning pipeline
- Coding and implementation of modules
- Reporting of finding and activities",IHPC,Computing and Intelligence,Ricardo Shirota Filho,6581991201,ricardo_shirota_filho@ihpc.a-star.edu.sg,"1 Fusionopolis Way, #16-16, Connexis North Tower, Singapore, 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering;Information Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATM Automatic Speech Recognition Understanding,In this project we develop LLMs (large language model) style speech understanding of voice communication in air traffic management (ATM) which directly transcribes audio into semantic concepts for applications.,"The student will learn the methodology to build audio & speech AI models, the data preparation, or experiment executions.","The student can choose to contribute to several tasks under this project: 1) data annotation and verification, b) deep learning model training executions, c) software prototyping.","Students with good knowledges in Python/PyTorch, AI are welcome but not compulsory as they can work on data processing part and learn more.","The student can choose to contribute to several tasks under this project: 1) data annotation and verification, b) deep learning model training executions, c) software prototyping.",I2R,Aural Language Intelligences,Tran Huy Dat,6592783170,hdtran@i2r.a-star.edu.sg,"1 Fusionopolis Way, #21-01, Connexis South Tower, Singapore 138632",Computing & Information Sciences,Computer Science;Computer & Software Engineering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Automation of Metasurface Phase Measurement,"Metasurface is composed of nanoscale antenna which can modulate the phases of incident light in subwavelength scale, it promises a great potential in development of novel micro and nanoscale photonic devices. In order to characterize the phase modulation property of device, a fast and precise measurement of the phase value of the device is crucial. In this project, we will upgrade an existing Linnik interferometer based measurface phase measurement setup to be fully automated through software programming and hardware implementation to enable the measurement be done in a fast and precise way.","1.Knowledge of metasurface based photonic device;
2.The method of phase measurement through interferometers;
3.Software and hardware implementation on synchronization and control of equipment;","1.Program with python and/or C++ to control the laser, stage, camera and function generator;
2.Increase the speed of phase measurement through hardware level control & synchronization;
3.Learn the basic of phase retrieve algorithms with temporal phase shift techniques;",,,IMRE,Advanced Optical Technologies,Liang Xinan,+6590182795,liang_xinan@imre.a-star.edu.sg,"FP2, Kinesis L02-05",Computing & Information Sciences,"Computer Science & Engineering, Electrical & Electronic Engineering, Computer Engineering, Electrical Engineering",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bioinformatics tools for integrative spatial analysis,"The focus of our project is to develop an integrative bioinformatics approach for comprehensive spatial analysis. The primary goal is to facilitate the discovery and understanding of complex biological patterns and relationships within various biological systems through the integration of spatial, histological, and molecular data.","1, They can gain hands-on experience in data analysis, computational modelling, and statistical techniques relevant to biological data.
2. They can develop proficiency in analyzing large-scale biological datasets and interpret the results and draw meaningful conclusions from complex biological data
3. They can enhance their coding skills in Python/R and develop algorithms.
4. They learn how to navigate various bioinformatics databases, resources, and tools.
5. Interns have opportunities to present their research findings.","1.	Collaborate with the project lead and data scientists to understand the goals of the algorithm development.
2.	Contribute to the development of bioinformatics algorithms.
3.	Test the developed algorithms on a subset of data and document the results.
4.	Assist in optimizing the algorithms for efficiency and accuracy.
5.	Assist in the development of user-friendly software tools that implement the project's algorithms.
6.	Participate in the debugging and testing of the software.
7.	Help create documentation and user manuals for the software tools.","1.	Programming skill, image processing skill will be a plus
2.	Problem solving skill
3.	Fundamental knowledge of biology/ immunology","1.	Algorithm Development: Create innovative bioinformatics algorithms that can efficiently integrate and interpret multi-omics data in the spatial context. The focus will be on utilizing machine learning and AI techniques to deal with the complexity of the data.
2.	Tool Development: Develop user-friendly, open-source software tools that implement the developed algorithms. 
3.	Case Studies: Apply the developed tools and methodologies on in-house datasets to validate their utility. This will involve collaborations with biology labs, wherein the tools will be used to answer specific biological questions.",SIgN,Computational Immunology Platform,Lau Mai Chan,6592348170,lau_mai_chan@bii.a-star.edu.sg,"8A Biomedical Grove, Immunos, Level 5, Singapore 138665",Computing & Information Sciences,Bioinformatics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Characterization of antibody-antigen interactions,"The project aims to integrate structural computational modelling and machine learning to assist in studying and re-design of antibodies for therapeutics by characterizing interactions of antibody regions via their structural pairings. In this project, the interactions and various structure-based characteristics will be quantified using computational tools and incorporated into prediction models.","The students will learn/improve task management skills with industry-related environment as well as communication skills in scientific manners.
The students will be contributing to scientific publications, if the results are concrete and reproducible.
The students will develop/improve skills required in teamwork.","Proactive and regularly reporting of task results via virtual or physical meetings.
Documenting processes/protocols and source codes of given tasks.
A final summary/documentation/report at the end of the internship is required.","No biological background is required.
Scripting/programming skills (using e.g. python, R, or any scripting language) are needed.
Comfortable with software installation (e.g. in linux)
Basic machine learning skills is a plus.","The students will be guided in detailed process of curating and quantifying various pairing characteristics using provided antibody structure datasets, as well as given opportunities for self-exploration and learning, by applying computational tools and software.",BII,Algorithms and Models of Protein Machinery (AMPM),Su Tran To Chinh,+6585330411,chinhsutranto@bii.a-star.edu.sg,"Bioinformatics Institute, 30 Biopolis Street, #07-01, Matrix, 138671",Computing & Information Sciences,Bioinformatics;Computer Science;Computer & Software Engineering;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Text Mining for Chronic Disease Management,"This project aims to apply text analysis, topic detection, and sentiment analysis to extract important words, topics, and prevalent emotions from clinical notes and transcribed conversations data. The resulting trends in topics and emotion will be analysed to gain insights into the patient’s health state.","Students will experience different methods and tools involved in text mining and sentiment analysis of real-world clinical notes and conversations data. Students will also practice time management, goal setting, and communication skills.","Student will plan and propose timeline and weekly tasks to be completed during the internship period. Student will have weekly team meetings with supervisor to monitor goals and update on tasks. Student will prepare weekly update documentation to share with supervisor. At the end of the internship, the student will submit all documentation and code to supervisor and hold a final presentation for the team.","Avid interest in research, eagerness to learn and experiment with data. Technical skills using R or Python would be a plus.","A.	Orientation: Students get to know the data domain and research area by reading research publications and learning materials. Students will complete training and certification for human subjects research and ethics. Students will gain access to the project’s confidential clinical data. 
B.	Data preparation and Text Mining: Students will work in a team to apply different text mining tools and methods for the extraction and analysis of prevalent words, topics, and sentiments in the provided clinical texts. 
C.	Analysis of Longitudinal Trends: Further analysis will be done to detect trends in the texts over time in relation to other clinical data.
D.	Finalize report and present findings.",I2R,Machine Intellection,Helen Mojisola Erdt geb Anjorin,+6584040264,Helen_Erdt@i2r.a-star.edu.sg,"1 Fusionopolis Way, #11-42, Connexis North Tower, Singapore 138632",Engineering & Technology,Data Science & Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational analysis of spatial omics data,New technologies in spatial transcriptomics now enable us to collect spatially-resolved measurements of gene expression within a tissue. We are looking for students interested in working with spatial omics data generated using cutting-edge technologies.,Students will understand the applications of bioinformatics pipelines to the analysis of data generated using novel spatial technologies. They will have the opportunity to investigate the effects of fine-tuning models on spatially resolved measurements and on prediction and interpretation of clinical phenotypes.,Students will work on improving algorithms used in analysing spatial omics data.,"Students will ideally possess familiarity with Python, deep learning libraries (Pytorch, Tensorflow), along with some existing knowledge of machine learning, deep learning and computer vision.",Students will work on improving algorithms used in analysing spatial omics data.,GIS,Laboratory of Systems Biology & Data Analytics,Shyam Prabhakar,6590928197,shvetha_sankaran@gis.a-star.edu.sg,Genome 60 Biopolis Street Singapore 138672,Computing & Information Sciences,Applied Mathematics;Bioinformatics;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computational Biology for Predicting Drug Effects,"An internship position in the areas of computational biology and bioinformatics is available in the Loo lab at the Bioinformatics Institute (BII), A*STAR. The lab is a computational pharmacology/toxicology group that develops novel phenotypic and molecular profiling methods and tools for predicting the efficacy or toxicity of drugs and chemical compounds.","The candidate will have the opportunity to learn bioinformatics software development process, and prepare for a possible career in this exciting field. He/she will have the opportunity to work in a highly interdisciplinary and stimulating environment, and learn how computational biology can help clinicians to fight cancers.",The successful candidate will participate in the development of an online web portal and software for predicting cancer drug responses and visualizing large biological datasets.,"The candidate must have taken undergraduate-level courses in computational biology/bioinformatics, genomics, and machine learning. He/she must be proficient in R, Bioconductor, Python, and comfortable to work under the Linux environment. Prior knowledge/training in cell biology, image processing, or web programming (HTML and Javascript) are preferred but not required.","The candidate will design, program, and test software tools for storing and analyzing molecular profiles and tissue images collected from cancer patients. He/she will also have to perform research on current computational methods or algorithms, and benchmark the performance of these methods.",BII,Complex Cellular Phenotype Analysis Group,Loo Lit Hsin,+6583868962,loolh@bii.a-star.edu.sg,"30 Biopolis Street, #07-01 Matrix, Singapore 138671",Computing & Information Sciences,Bioinformatics;Computer Science;Computer & Software Engineering;Information Technology;Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
